numero_amostra,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z
114,0.532,-0.009,0.917,1.953,4.860,-0.877
115,0.534,-0.009,0.918,2.129,4.448,-0.694
116,0.532,-0.011,0.913,1.991,5.325,-1.076
117,0.529,-0.003,0.914,1.656,5.623,-0.587
118,0.533,-0.009,0.910,2.083,5.096,-1.007
119,0.734,-0.612,0.923,175.156,-34.714,126.488
120,0.416,0.334,1.019,58.212,29.442,-3.517
121,0.418,0.154,1.065,47.638,113.998,20.905
122,0.258,0.339,0.859,50.797,28.519,-24.399
123,0.034,0.281,0.959,79.849,15.297,-39.307
124,-0.063,0.314,0.987,65.033,32.379,-24.773
125,-0.114,0.271,0.830,-31.578,44.815,14.488
126,-0.291,0.565,0.763,38.124,58.067,9.438
127,-0.205,0.430,0.929,-11.375,17.113,-5.341
128,-0.181,0.424,0.933,-12.642,21.019,-7.477
129,-0.211,0.447,0.937,22.926,5.936,-5.318
130,-0.246,0.437,0.923,18.669,13.847,-5.959
131,-0.258,0.479,0.872,3.754,8.507,-1.762
132,-0.259,0.469,0.868,33.455,7.835,-9.842
133,-0.268,0.563,0.890,50.308,-6.943,-8.087
134,-0.238,0.607,0.839,48.615,-1.534,-4.257
135,-0.231,0.631,0.703,51.300,2.670,2.754
136,-0.231,0.686,0.674,20.195,0.008,-0.374
137,-0.249,0.737,0.688,3.151,-1.732,-3.128
138,-0.227,0.719,0.699,-10.284,8.720,0.931
139,-0.231,0.682,0.714,-1.808,11.597,-1.038
140,-0.227,0.690,0.696,0.130,7.477,-0.412
141,-0.239,0.703,0.742,-2.075,8.354,0.130
142,-0.226,0.696,0.721,-7.423,5.280,-0.801
143,-0.248,0.696,0.711,-6.622,7.584,-0.702
144,-0.259,0.658,0.717,-6.897,6.310,0.786
145,-0.248,0.672,0.744,-6.554,6.142,0.458
146,-0.257,0.649,0.719,7.805,5.379,-2.197
147,-0.263,0.687,0.720,5.157,4.585,-1.144
148,-0.256,0.640,0.765,0.175,8.659,-0.916
149,-0.244,0.667,0.743,-2.747,6.248,1.305
150,-0.259,0.646,0.746,2.495,5.531,-0.984
151,-0.236,0.667,0.759,1.968,8.224,-0.122
152,-0.253,0.666,0.764,-2.953,6.126,-0.122
153,-0.255,0.661,0.747,2.289,5.386,-0.252
154,-0.249,0.664,0.752,0.839,10.231,-0.137
155,-0.261,0.641,0.755,1.045,8.720,0.122
156,-0.245,0.645,0.768,-5.089,6.622,-0.191
157,-0.249,0.661,0.770,-8.339,5.257,-0.099
158,-0.240,0.641,0.813,-14.473,10.422,0.191
159,-0.249,0.638,0.804,-31.303,15.190,-2.922
160,-0.277,0.445,0.831,-67.474,36.674,10.696
161,-0.369,0.435,0.931,-83.786,51.521,9.789
162,-0.387,0.299,0.944,-71.793,67.871,2.930
163,-0.470,0.249,0.894,-39.902,53.894,-9.743
164,-0.523,0.184,0.827,-47.646,58.472,-19.547
165,-0.687,0.062,0.718,-65.353,53.139,-8.957
166,-0.756,0.023,0.705,4.250,58.533,-9.003
167,-0.848,-0.008,0.661,-32.227,45.555,-19.440
168,-0.853,0.011,0.562,-17.365,42.526,-10.262
169,-0.824,-0.061,0.454,-38.528,44.128,-7.721
170,-0.839,-0.102,0.426,13.504,20.943,-5.058
171,-0.876,-0.058,0.431,-46.089,19.539,8.049
172,-0.940,-0.085,0.395,8.888,8.606,-5.638
173,-0.914,-0.124,0.366,39.383,4.547,-7.675
174,-0.912,-0.148,0.390,-29.915,9.758,-5.997
175,-0.918,-0.166,0.379,1.907,-0.839,1.022
176,-0.912,-0.103,0.382,-8.087,5.615,3.654
177,-0.930,-0.106,0.431,1.808,7.607,-1.938
178,-0.920,-0.104,0.411,3.357,5.074,-5.821
179,-0.916,-0.142,0.431,-6.470,7.248,-2.396
180,-0.919,-0.106,0.431,-11.703,10.658,0.595
181,-0.901,-0.129,0.402,-7.339,6.927,1.572
182,-0.922,-0.145,0.375,11.742,10.773,3.105
183,-0.915,-0.143,0.354,-18.959,5.646,-2.007
184,-0.929,-0.120,0.390,5.806,8.316,-1.961
185,-0.929,-0.153,0.396,5.287,3.952,-4.074
186,-0.932,-0.192,0.406,-0.938,8.018,-4.150
187,-0.943,-0.189,0.417,-1.488,8.720,0.381
188,-0.912,-0.123,0.384,-3.609,11.475,8.896
189,-0.932,-0.106,0.343,-5.371,6.668,5.142
190,-0.931,-0.115,0.311,5.028,8.171,1.358
191,-0.945,-0.123,0.353,8.057,4.318,-2.502
192,-0.944,-0.131,0.360,-6.477,2.632,-8.560
193,-0.939,-0.135,0.361,-0.015,5.844,-4.578
194,-0.945,-0.160,0.346,2.914,6.943,-3.693
195,-0.927,-0.131,0.342,3.616,4.135,0.671
196,-0.959,-0.168,0.345,9.407,4.898,1.106
197,-0.938,-0.153,0.342,3.143,3.120,-0.679
198,-0.951,-0.111,0.334,-1.602,3.387,0.092
199,-0.940,-0.121,0.336,3.212,4.028,-2.769
200,-0.941,-0.120,0.354,3.654,3.464,-1.701
201,-0.936,-0.120,0.352,5.112,6.828,-1.198
202,-0.930,-0.112,0.357,0.137,2.106,-2.296
203,-0.959,-0.143,0.376,7.225,3.395,-0.854
204,-0.929,-0.099,0.348,4.173,3.761,-0.603
